"lsoa01","access01","access11","access01_exp","access11_exp"
"E01003438",1708311,1966705,9714.68164738787,11081.0376135827
"E01003439",2265463,2606644,11186.5275726111,12630.3956978423
"E01003440",2256023,2591716,10830.9918403488,12166.954699496
"E01003441",2229235,2559802,10740.1704567964,11650.2209632295
"E01003442",2357338,2725480,10516.65220481,12055.4312253036
"E01003443",2261447,2606114,9847.52988751761,11046.6558865416
"E01003444",2239619,2581677,8828.58481316146,9794.51145982437
"E01003445",1924657,2213945,8285.00837167837,9103.24066409041
"E01003446",2225112,2565785,10000.2216208687,11131.5282649164
"E01003447",1841905,2113096,8976.58970043342,9875.86631256355
"E01003448",2097936,2407306,9907.35675488906,11272.3419165719
"E01003449",2086062,2390331,9861.81081067528,11234.978565579
"E01003450",1693847,1950679,9571.0613601203,10926.712863089
"E01003451",1543180,1772910,8943.65031793267,10247.9491467551
"E01003452",1681217,1922195.81,9279.18247332637,10632.3208839734
"E01003453",2176097,2497840,10813.232588536,12213.5665128346
"E01003454",2611767,3076647.97,16324.5247651151,19677.1259924629
"E01003455",2631555,3105962.68,16567.8496587206,20431.2662574245
"E01003456",2544638,2945196,17440.6264464478,20649.3852723296
"E01003457",2607125,3070524.97,16604.4122222953,20027.5983146175
"E01003458",2609963,3074166.97,16508.2323132785,20062.597652804
"E01003459",2601142,3066907.97,16412.6099360741,20127.2383754296
"E01003460",2491316,2883971,10875.3797677099,12496.703931043
"E01003461",2557679,2960170,13311.460307645,15616.0683084414
"E01003462",2376305,2747619,8648.53578383674,9784.10038227597
"E01003463",2237391,2563137,7391.9667924894,7999.52480181024
"E01003464",2620564,3039890,9516.13316481212,11361.5419726537
"E01003465",2595033,3007038,11358.2040767747,13514.5412142462
"E01003466",1737236,1986032,8476.99418592539,9679.2569253662
"E01003467",1779908,2035491.72,8431.34423757931,9628.8461294996
"E01003468",1547559,1780023,8167.3615468236,9464.08468587999
"E01003469",1508606,1736262.98,8724.12574214828,9981.6039560664
"E01003470",1553637,1784191,8687.92718881925,10038.0123471814
"E01003471",1810331,2074475,9010.8048710918,10117.2360705179
"E01003472",2708630,3202340.32,13449.9921755192,16414.542409405
"E01003473",2695472,3182593,13771.4099525951,16782.7914939571
"E01003474",2655394,3134799,13684.2417669393,16585.4135426725
"E01003475",2655357,3133822,15637.7894622837,18996.9678710081
"E01003476",2640260,3112521,15083.1740461282,18220.2932785332
"E01003477",2642789,3114871,15899.753803958,19308.275505637
"E01003478",2722002,3215801,14538.8474870664,17868.301262545
"E01003479",2271893,2750183,9067.69954648009,15792.1471789856
"E01003480",2154131,2619269,8197.24545091101,14507.6823263253
"E01003481",2231453,2703991,8915.18316338817,16610.4521563606
"E01003482",2154599,2622296,9818.73763096706,17101.1488990326
"E01003483",2293913,2777776,10033.7019593524,16168.7847819657
"E01003484",2263601,2741390,9799.46211421385,16163.2018967987
"E01003485",2298925,2781226,9489.1995919864,15824.5644185793
"E01003486",2230914,2704473,9630.71548930682,16716.7872104647
"E01003487",2149360,2614743,8938.19410579716,15677.2418201895
"E01003488",2312559,2808739,13691.1613118528,19702.5123008963
"E01003489",2336956,2835733,13933.0675702322,20058.2281080768
"E01003490",2287490,2776326,13620.3600124368,19434.2943432685
"E01003491",2364085,2867871,13967.2731383881,20213.4891776266
"E01003492",2337027,2835440,13287.0688156112,19628.9028384497
"E01003493",2303406,2792250,13271.5410160579,19335.1442419133
"E01003494",2334267,2832093,12922.9155271052,19413.8576801523
"E01003495",2307231,2794412,12428.0843386377,18492.2863531869
"E01003496",2514929,3053309,15012.9689393651,21680.3015220153
"E01003497",2504750,3042035,15495.1026232994,24212.2471361829
"E01003498",2464361,2995102.06,14000.4408214701,21089.9853085955
"E01003499",2439339,2966257.06,13552.2638446326,20595.521987229
"E01003500",2500722,3037502,15246.7944652716,22954.9332294653
"E01003501",2470886,3002482,14055.9425123145,21636.0196944322
"E01003502",2484433,3019112,14556.3144118965,22707.277043733
"E01003503",2493393,3028045,14714.7640719349,23039.2091428695
"E01003504",2470072,3003122.06,12566.7059403854,20083.1446713288
"E01003505",2497190,3032763,14296.5001197314,22502.3539325437
"E01003506",2454191,2984871.06,11654.4268189801,18442.8851492223
"E01003507",2426038,2948744,12982.4291546211,20003.9122450762
"E01003508",2452470,2979629.06,13231.0812976576,20663.7248329728
"E01003509",2444881,2969522.06,12861.4668555081,20072.0968893499
"E01003510",2475886,3009592,13349.8131219873,21085.9514158626
"E01003511",2453574,2983638.06,12517.3897308856,19804.7541389612
"E01003512",2395345,2915188,10761.6876361993,17024.2796312733
"E01003513",2314140,2803089,9364.76257185793,15337.6061237109
"E01003514",2363248,2868113,9746.52692531654,15483.2478920727
"E01003515",2414071,2937253,10878.1626843761,17164.6835592701
"E01003516",2370264,2884443,10679.4467512848,16892.8899155377
"E01003517",2431833,2958606,11668.5958201111,18449.6934394977
"E01003518",2356257,2858483,10118.3172688524,16152.4728714711
"E01003519",2379629,2895685,10473.2205844172,16598.5871065487
"E01003520",2245247,2726025,13477.5707789189,18786.1935811998
"E01003521",2215929,2693057,13729.8492863095,18601.6100863616
"E01003522",2253312,2734285,13590.376327145,19042.8385570381
"E01003523",2205445,2678837,13233.1473225034,17997.1989671162
"E01003524",2285205,2772647,13586.8393842769,19342.6097476403
"E01003525",2258674,2741324,13565.3285615541,19100.3427481698
"E01003526",2251481,2732320,13348.0750827639,18744.0563316876
