"TTWA11NM","total.pop","n.bua","rci01","rci11","rcidiff","rci01_main","rci11_main","rcidiff_main","work01","work01_sq","work11","work11_sq","workdiff","workdiff_sq","geo04","geo10","geodiff","type"
"Swindon",339470,4,0.186468841555197,0.180279660643251,-0.00618918091194587,0.191355043431855,0.185202723273662,-0.00615232015819345,0.0612197972247515,-0.0594860679707523,0.0567692961929254,-0.0729224281610499,-0.00445050103182609,-0.0134363601902976,0.264800387043735,0.191912284940372,-0.0728881021033629,"inc"
"Ipswich",339226,3,0.167421583986808,0.153870219103609,-0.0135513648831989,0.167791944351023,0.15401980635643,-0.013772137994593,0.099841223446262,0.0293131572389171,0.0925994930043288,-0.00317558115784777,-0.00724173044193321,-0.0324887383967649,0.2207432897399,0.189497470143138,-0.0312458195967622,"inc"
"Stevenage and Welwyn Garden City",331554,5,0.125327589619374,0.108087433297925,-0.0172401563214493,0.0942716257899434,0.0776006600311661,-0.0166709657587774,0.016884860654514,0.0067877663549325,0.00331825400915875,-0.00919013427041193,-0.0135666066453553,-0.0159779006253444,0.187319155546021,0.16144992028363,-0.025869235262391,"inc"
"Milton Keynes",327798.36,4,0.215298135026302,0.177396455924281,-0.0379016791020206,0.219431286532867,0.179528460082366,-0.0399028264505006,0.0527615744187386,0.0258769365915583,0.0298845566456691,0.0128897835277968,-0.0228770177730695,-0.0129871530637615,0.242870961720612,0.212483999074436,-0.0303869626461761,"inc"
"Plymouth",320473,2,0.216359741940593,0.163875970575219,-0.0524837713653739,0.216291516243629,0.163733008895292,-0.052558507348337,-0.00322008035942645,0.099001787839029,-0.018061587309532,0.0575267088563578,-0.0148415069501056,-0.0414750789826712,0.197963646041998,0.177790877290363,-0.0201727687516353,"inc"
"Lincoln",315686,5,0.0757826378432469,0.0321587744591199,-0.043623863384127,0.080494649273831,0.0367335430275517,-0.0437611062462793,0.0217489633794372,-0.00735089941024114,-0.00961569435185083,-0.0234321825333552,-0.031364657731288,-0.0160812831231141,0.234580741749312,0.196896234712398,-0.0376845070369143,"inc"
"Bournemouth",315544,2,0.146827610861791,0.110699647198587,-0.0361279636632048,0.146675880036156,0.110624270449435,-0.0360516095867212,0.0949119615046499,0.0949399103201785,0.0853135650860537,0.0827577886446562,-0.00959839641859617,-0.0121821216755222,0.170988838641492,0.147143306744525,-0.023845531896967,"inc"
"Birkenhead",311401,3,0.307893808841158,0.281487160366297,-0.0264066484748611,0.354974979229354,0.317270156438852,-0.0377048227905021,0.224623568545496,0.221106699202892,0.221930049727192,0.178586444360846,-0.0026935188183046,-0.0425202548420458,0.205879119711653,0.188493545988052,-0.0173855737236011,"inc"
"Peterborough",307801,2,0.331608542647984,0.268580204618999,-0.0630283380289853,0.332037101076949,0.268479474162575,-0.0635576269143741,0.123570451274517,0.0631393034389305,0.134080229372756,0.0424817564267386,0.0105097780982391,-0.0206575470121919,0.26682966328984,0.18763179604025,-0.0791978672495901,"inc"
"Wakefield and Castleford",305847,4,-0.0568955420621791,-0.0299960875540393,0.0268994545081398,-0.063357602664027,-0.0351669713235765,0.0281906313404505,-0.0878044403509222,-0.0684090330173461,-0.0585445713918062,-0.0788120882352672,0.0292598689591159,-0.0104030552179211,0.165316180026366,0.163444958772516,-0.00187122125385031,"inc"
"Brighton",305381,1,0.124781898846877,0.0295163608320763,-0.0952655380148002,0.124781898846877,0.0295163608320763,-0.0952655380148002,-0.0386013167779282,0.0579061167720312,-0.0596271729217932,-0.0213660174251231,-0.021025856143865,-0.0792721341971543,0.0697576323695159,0.0046872809950429,-0.065070351374473,"inc"
