"TTWA11NM","lsoa01","weight"
"Dorchester and Weymouth","E01020572",1
"Dorchester and Weymouth","E01020573",1
"Dorchester and Weymouth","E01020574",1
"Dorchester and Weymouth","E01020575",1
"Dorchester and Weymouth","E01020576",1
"Dorchester and Weymouth","E01020577",1
"Dorchester and Weymouth","E01020578",1
"Dorchester and Weymouth","E01020579",1
"Dorchester and Weymouth","E01020580",1
"Dorchester and Weymouth","E01020581",1
"Dorchester and Weymouth","E01020582",1
"Dorchester and Weymouth","E01020583",1
"Dorchester and Weymouth","E01020584",1
"Dorchester and Weymouth","E01020585",1
"Dorchester and Weymouth","E01020586",1
"Dorchester and Weymouth","E01020587",1
"Dorchester and Weymouth","E01020588",1
"Dorchester and Weymouth","E01020589",1
"Falmouth","E01018803",1
"Falmouth","E01018804",1
"Falmouth","E01018805",1
"Falmouth","E01018806",1
"Falmouth","E01018811",1
"Falmouth","E01018812",1
"Falmouth","E01018813",1
"Falmouth","E01018814",1
"Falmouth","E01018834",1
"Falmouth","E01018835",1
"Falmouth","E01018836",1
"Falmouth","E01018837",1
"Falmouth","E01018838",1
"Falmouth","E01018839",1
"Falmouth","E01018840",1
"Falmouth","E01018841",1
"Falmouth","E01018859",1
"Falmouth","E01018860",1
"Falmouth","E01018861",1
"Falmouth","E01018862",1
"Falmouth","E01018879",1
"Falmouth","E01018880",1
"Falmouth","E01018881",1
"Falmouth","E01018882",1
"Falmouth","E01018883",1
"Falmouth","E01018884",1
"Falmouth","E01018885",1
"Falmouth","E01018886",1
"Falmouth","E01018887",1
"Falmouth","E01018888",1
"Falmouth","E01018899",1
"Falmouth","E01018900",1
"Falmouth","E01018901",1
"Falmouth","E01018902",1
"Falmouth","E01018903",1
"Falmouth","E01018904",1
"Falmouth","E01018905",1
"Falmouth","E01018906",1
"Falmouth","E01018907",1
"Falmouth","E01018920",1
"Falmouth","E01018921",1
"Falmouth","E01018922",1
"Grantham","E01025885",1
"Grantham","E01025886",1
"Grantham","E01025887",1
"Grantham","E01025892",1
"Grantham","E01025912",1
"Grantham","E01026291",1
"Grantham","E01026292",1
"Grantham","E01026293",1
"Grantham","E01026294",1
"Grantham","E01026308",1
"Grantham","E01026309",1
"Grantham","E01026310",1
"Grantham","E01026311",1
"Grantham","E01026312",1
"Grantham","E01026313",1
"Grantham","E01026314",1
"Grantham","E01026315",1
"Grantham","E01026316",1
"Grantham","E01026317",1
"Grantham","E01026318",1
"Grantham","E01026319",1
"Grantham","E01026320",1
"Grantham","E01026321",1
"Grantham","E01026322",1
"Grantham","E01026323",1
"Grantham","E01026324",1
"Grantham","E01026325",1
"Grantham","E01026326",1
"Grantham","E01026327",1
"Grantham","E01026328",1
"Grantham","E01026329",1
"Grantham","E01026331",1
"Grantham","E01026332",1
"Grantham","E01026333",1
"Grantham","E01026339",1
"Grantham","E01026340",1
"Grantham","E01026343",1
"Grantham","E01026344",1
"Grantham","E01026345",1
"Grantham","E01026352",1
"Grantham","E01026353",1
"Grantham","E01026354",1
"Grantham","E01026355",1
"Grantham","E01026365",1
"Hastings","E01020969",1
"Hastings","E01020970",1
"Hastings","E01020971",1
"Hastings","E01020972",1
"Hastings","E01020973",1
"Hastings","E01020974",1
"Hastings","E01020975",1
"Hastings","E01020976",1
"Hastings","E01020977",1
"Hastings","E01020978",1
"Hastings","E01020979",1
"Hastings","E01020980",1
"Hastings","E01020981",1
"Hastings","E01020982",1
"Hastings","E01020983",1
"Hastings","E01020984",1
"Hastings","E01020985",1
"Hastings","E01020986",1
"Hastings","E01020987",1
"Hastings","E01020988",1
"Hastings","E01020989",1
"Hastings","E01020990",1
"Hastings","E01020991",1
"Hastings","E01020992",1
"Hastings","E01020993",1
"Hastings","E01020994",1
"Hastings","E01020995",1
"Hastings","E01020996",1
"Hastings","E01020997",1
"Hastings","E01020998",1
"Hastings","E01020999",1
"Hastings","E01021000",1
"Hastings","E01021001",1
"Hastings","E01021002",1
"Hastings","E01021003",1
"Hastings","E01021004",1
"Hastings","E01021005",1
"Hastings","E01021006",1
"Hastings","E01021007",1
"Hastings","E01021008",1
"Hastings","E01021009",1
"Hastings","E01021010",1
"Hastings","E01021011",1
"Hastings","E01021012",1
"Hastings","E01021013",1
"Hastings","E01021014",1
"Hastings","E01021015",1
"Hastings","E01021016",1
"Hastings","E01021017",1
"Hastings","E01021018",1
"Hastings","E01021019",1
"Hastings","E01021020",1
"Hastings","E01021021",1
"Hastings","E01021084",1
"Hastings","E01021085",1
"Hastings","E01021086",1
"Hastings","E01021087",1
"Hastings","E01021088",1
"Hastings","E01021089",1
"Hastings","E01021090",1
"Hastings","E01021091",1
"Hastings","E01021092",1
"Hastings","E01021093",1
"Hastings","E01021094",1
"Hastings","E01021095",1
"Hastings","E01021096",1
"Hastings","E01021097",1
"Hastings","E01021100",1
"Hastings","E01021101",1
"Hastings","E01021102",1
"Hastings","E01021103",1
"Hastings","E01021104",1
"Hastings","E01021105",1
"Hastings","E01021106",1
"Hastings","E01021107",1
"Hastings","E01021108",1
"Hastings","E01021109",1
"Hastings","E01021110",1
"Hastings","E01021111",1
"Hastings","E01021112",1
"Hastings","E01021113",1
"Hastings","E01021114",1
"Hastings","E01021115",1
"Hastings","E01021116",1
"Hastings","E01021117",1
"Hastings","E01021118",1
"Hastings","E01021119",1
"Hastings","E01021120",1
"Hastings","E01021121",1
"Hastings","E01021122",1
"Hastings","E01021123",1
