"fua","total.pop","n.bua","rci01","rci11","rcidiff","rci01_main","rci11_main","rcidiff_main","work01","work01_exp","work11","work11_exp","workdiff","workdiff_exp","geo04","geo10","geodiff","type"
"Greater Nottingham",871417,4,0.179121749378226,0.0940509763902639,-0.0850707729879616,0.158991934274212,0.0804604000619236,-0.0785315342122885,0.0321552954651168,0.216186187048947,0.0593413596902792,0.132185880593539,0.0271860642251625,-0.0840003064554082,0.199559612905063,0.173452493371457,-0.0261071195336058,"inc"
"Leicester",836484,5,0.30607549246912,0.234632193575806,-0.071443298893314,0.32205902505163,0.251240059483052,-0.0708189655685771,0.139701238600253,0.342553019655412,0.124197849361707,0.260444082423106,-0.0155033892385461,-0.0821089372323058,0.314611971264043,0.236495355284063,-0.0781166159799795,"inc"
"Coventry",679935,4,0.137523198136364,0.127481600719165,-0.0100415974171995,0.183004365220825,0.164400946348337,-0.0186034188724875,0.0749567663420976,0.204892033231005,0.0814385543360459,0.152936874040876,0.00648178799394827,-0.0519551591901291,0.146807914088782,0.161346644052969,0.0145387299641868,"inc"
"Southampton",654941,4,0.133231232703849,0.0979643253880624,-0.035266907315787,0.201638555136213,0.152055756152151,-0.049582798984062,0.0867429392697261,0.196951099533919,0.0758039155981294,0.160478913624075,-0.0109390236715967,-0.0364721859098438,0.194437011022558,0.190817566289951,-0.00361944473260678,"inc"
"Kingston upon Hull",590585,5,0.206789581863092,0.196155743890642,-0.0106338379724491,0.210475664897302,0.201497962468522,-0.00897770242877982,0.184963055568744,0.241585223841923,0.179548910955361,0.216129431638933,-0.00541414461338263,-0.0254557922029903,0.240045578102581,0.20748519335973,-0.0325603847428511,"inc"
"Middlesbrough",557227,3,0.218263910260319,0.20174815820809,-0.0165157520522285,0.161518097624793,0.144030068462243,-0.0174880291625499,0.117821374835259,0.263104996093347,0.0884286948255806,0.239372906386109,-0.0293926800096784,-0.0237320897072379,0.214273724419485,0.244284181410023,0.0300104569905386,"inc"
"Oxford",519541,5,0.0646646009288077,0.0128327443738243,-0.0518318565549833,0.0703244699396066,0.0163011306630665,-0.0540233392765401,0.123459804522398,0.163717267877658,0.0775378825192519,0.133813720149163,-0.0459219220031457,-0.0299035477284946,0.181330390845403,0.135854444954617,-0.0454759458907859,"inc"
"Portsmouth",518462,3,0.108534597977098,0.121160162303894,0.0126255643267967,0.137667874471731,0.143970654491753,0.00630278002002171,-0.124545290167646,0.150897100201576,-0.103568595744065,0.141696574333508,0.020976694423581,-0.00920052586806719,0.155534924348785,0.126738289799505,-0.0287966345492805,"inc"
"Bournemouth",509286,2,0.12156673169477,0.104772573012852,-0.0167941586819182,0.154445688989995,0.118272128906668,-0.0361735600833271,0.117562107944678,0.152700946556521,0.0944832429178035,0.130012374153765,-0.023078865026875,-0.0226885724027568,0.183421887081593,0.154432751984075,-0.0289891350975182,"inc"
"Cheshire West and Chester",482114,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Stoke-on-Trent",469985,3,0.139591699794323,0.12907165148151,-0.0105200483128129,0.174263852098235,0.16208965239386,-0.0121741997043756,0.108574905823502,0.180166862597616,0.100362449626857,0.164957237158603,-0.00821245619664523,-0.0152096254390131,0.236326813114204,0.200008686043589,-0.036318127070615,"inc"
"Derby",465672,5,0.226671452613203,0.18481535128879,-0.041856101324413,0.213552940722096,0.171754870236242,-0.0417980704858536,0.107543191395351,0.327781133171484,0.0894282903540358,0.271088725436485,-0.0181149010413151,-0.0566924077349995,0.308012330532918,0.254624896128334,-0.0533874344045842,"inc"
"Exeter",452200,3,0.0660254992239828,0.0308231579737281,-0.0352023412502547,0.0507023839471401,0.00370067473144786,-0.0470017092156922,0.05028483190776,0.143413216959701,0.013793433736268,0.108857390952423,-0.0364913981714921,-0.0345558260072778,0.189833484015466,0.160937721425015,-0.0288957625904516,"inc"
