"","lsoa01cd","fua"
"827","E01003827","London"
"828","E01003828","London"
"829","E01003829","London"
"830","E01003830","London"
"831","E01003831","London"
"832","E01003832","London"
"833","E01003833","London"
"834","E01003834","London"
"835","E01003835","London"
"836","E01003836","London"
"837","E01003837","London"
"838","E01003838","London"
"839","E01003839","London"
"840","E01003840","London"
"841","E01003841","London"
"842","E01003842","London"
"843","E01003843","London"
"844","E01003844","London"
"845","E01003845","London"
"846","E01003846","London"
"847","E01003847","London"
"848","E01003848","London"
"849","E01003849","London"
"850","E01003850","London"
"851","E01003851","London"
"852","E01003852","London"
"853","E01003853","London"
"854","E01003854","London"
"855","E01003855","London"
"856","E01003856","London"
"857","E01003857","London"
"858","E01003858","London"
"859","E01003859","London"
"860","E01003860","London"
"861","E01003861","London"
"862","E01003862","London"
"863","E01003863","London"
"864","E01003864","London"
"865","E01003865","London"
"866","E01003866","London"
"867","E01003867","London"
"868","E01003868","London"
"869","E01003869","London"
"870","E01003870","London"
"871","E01003871","London"
"872","E01003872","London"
"873","E01003873","London"
"874","E01003874","London"
"875","E01003875","London"
"876","E01003876","London"
"877","E01003877","London"
"878","E01003878","London"
"879","E01003879","London"
"880","E01003880","London"
"881","E01003881","London"
"882","E01003882","London"
"883","E01003883","London"
"884","E01003884","London"
"885","E01003885","London"
"886","E01003886","London"
"887","E01003887","London"
"888","E01003888","London"
"889","E01003889","London"
"890","E01003890","London"
"891","E01003891","London"
"892","E01003892","London"
"893","E01003893","London"
"894","E01003894","London"
"895","E01003895","London"
"896","E01003896","London"
"897","E01003897","London"
"898","E01003898","London"
"899","E01003899","London"
"900","E01003900","London"
"901","E01003901","London"
"902","E01003902","London"
"903","E01003903","London"
"904","E01003904","London"
"905","E01003905","London"
"906","E01003906","London"
"907","E01003907","London"
"908","E01003908","London"
"909","E01003909","London"
"910","E01003910","London"
"911","E01003911","London"
"912","E01003912","London"
"913","E01003913","London"
"914","E01003914","London"
"915","E01003915","London"
"916","E01003916","London"
"917","E01003917","London"
"918","E01003918","London"
"919","E01003919","London"
"920","E01003920","London"
"921","E01003921","London"
"922","E01003922","London"
"923","E01003923","London"
"924","E01003924","London"
"925","E01003925","London"
"926","E01003926","London"
"927","E01003927","London"
"928","E01003928","London"
"929","E01003929","London"
"930","E01003930","London"
"931","E01003931","London"
"932","E01003932","London"
"933","E01003933","London"
"934","E01003934","London"
"935","E01003935","London"
"936","E01003936","London"
"937","E01003937","London"
"938","E01003938","London"
"939","E01003939","London"
"940","E01003940","London"
"941","E01003941","London"
"942","E01003942","London"
"943","E01003943","London"
"944","E01003944","London"
"945","E01003945","London"
"946","E01003946","London"
"947","E01003947","London"
"948","E01003948","London"
"949","E01003949","London"
"950","E01003950","London"
"951","E01003951","London"
"952","E01003952","London"
"953","E01003953","London"
"954","E01003954","London"
"955","E01003955","London"
"956","E01003956","London"
"957","E01003957","London"
"958","E01003958","London"
"959","E01003959","London"
"960","E01003960","London"
"961","E01003961","London"
"962","E01003962","London"
"963","E01003963","London"
"964","E01003964","London"
"965","E01003965","London"
"966","E01003966","London"
"967","E01003967","London"
"968","E01003968","London"
"969","E01003969","London"
"970","E01003970","London"
"971","E01003971","London"
"972","E01003972","London"
"973","E01003973","London"
"974","E01003974","London"
"975","E01003975","London"
"976","E01003976","London"
"977","E01003977","London"
"978","E01003978","London"
"979","E01003979","London"
"980","E01003980","London"
"981","E01003981","London"
"982","E01003982","London"
"983","E01003983","London"
"984","E01003984","London"
"985","E01003985","London"
"986","E01003986","London"
"987","E01003987","London"
"988","E01003988","London"
"989","E01003989","London"
"990","E01003990","London"
"991","E01003991","London"
"992","E01003992","London"
"993","E01003993","London"
"994","E01003994","London"
"995","E01003995","London"
"996","E01003996","London"
"997","E01003997","London"
"998","E01003998","London"
"999","E01003999","London"
"1000","E01004000","London"
"1001","E01001001","London"
"1002","E01001002","London"
"1003","E01001003","London"
"1004","E01001004","London"
"1005","E01001005","London"
"1006","E01001006","London"
"1007","E01001007","London"
"1008","E01001008","London"
"1009","E01001009","London"
"1010","E01001010","London"
