"","name","pweight_x","pweight_y","pop11","number_lsoa","type","imputed_easting","imputed_northing","imputed_type","imputed_error","imputed_osmnm","imputed_osmm"
"750","Haydock BUASD",355537.358487231,396968.793982684,14481,10,"buasd",355537.358487231,396968.793982684,"Origin",NA,NA,"Abertillery"
"751","Hazel Grove BUASD",392104.932153596,386538.184623952,19659,13,"buasd",392104.932153596,386538.184623952,"Origin",NA,NA,"Abertillery"
"752","Headley Down BUASD",483269.33550541,136341.389262992,5613,4,"buasd",483269.33550541,136341.389262992,"Origin",NA,NA,"Abertillery"
"753","Heage BUASD",437171.519914903,350164.76101189,3087,2,"buasd",437171.519914903,350164.76101189,"Origin",NA,NA,"Abertillery"
"754","Heanor BUASD",443578.370991027,346703.668332316,24455,15,"buasd",443202.384190954,346557.160531942,"town",403.522749543796,NA,"Heanor"
"755","Heathfield BUASD",558214.557617224,121002.352141077,7772,5,"buasd",558189.668773534,121560.867935673,"town",559.070073741965,NA,"Heathfield"
"756","Hebburn BUASD",431234.649168534,564288.506215387,20567,14,"buasd",431339.811234199,564883.931324403,"town",604.640488638728,NA,"Hebburn"
"757","Heckmondwike BUASD",421977.44204014,423869.398705344,11399,7,"buasd",421521.128151721,423494.472623988,"town",590.586091306918,NA,"Heckmondwike"
"758","Hedge End BUASD",449434.3584276,113438.959847963,25873,16,"buasd",448803.447968695,113114.106336777,"town",709.632165904503,NA,"Hedge End"
"759","Hedon BUASD",519107.31103337,428458.431900216,6903,4,"buasd",518689.885059748,428687.672023718,"town",476.230487975321,NA,"Hedon"
"760","Hellaby BUASD",450290.385071338,391949.42893711,1437,1,"buasd",450290.385071338,391949.42893711,"Origin",NA,NA,"Abertillery"
"761","Helston BUASD",166239.0418507,27813.8346347391,11682,7,"buasd",166038.169001881,27529.5541434655,"town",348.088062293761,NA,"Helston"
"762","Hemel Hempstead BUASD",506179.039305275,207044.233158416,93505,59,"buasd",505539.099373748,206935.119139962,"town",649.175619525716,NA,"Kings Langley"
"763","Hemingbrough BUASD",467587.889969455,430597.366266072,1998,1,"buasd",467587.889969455,430597.366266072,"Origin",NA,NA,"Abertillery"
"764","Hemingford Grey BUASD",529503.320602955,270533.881362346,2827,2,"buasd",529503.320602955,270533.881362346,"Origin",NA,NA,"Abertillery"
"765","Hendreforgan BUASD",298344.680088972,188265.034959568,1727,1,"buasd",298344.680088972,188265.034959568,"Origin",NA,NA,"Abertillery"
"766","Henlow BUASD",517717.709992285,238234.680925322,1852,1,"buasd",517717.709992285,238234.680925322,"Origin",NA,NA,"Abertillery"
"767","Herne Bay BUASD",617918.682732351,167431.996912412,38563,23,"buasd",617955.806804738,167949.812054757,"town",519.144217334566,NA,"Herne Bay"
"768","Hersden BUASD",620310.671323657,162164.090152182,2054,1,"buasd",620310.671323657,162164.090152182,"Origin",NA,NA,"Abertillery"
"769","Hertford BUASD",532551.247392567,212909.370250186,26783,17,"buasd",532604.937909536,212533.716949695,"town",379.470781196446,NA,"Hertford"
