"TTWA","Total pop (18 - 64, 2011)","RCI (2001)","RCI (2011)","Change in RCI","RAE (2001)","RAE (2011)","Change in RAE","Geo. (2001)","Geo. (2011)","Change in Geo.","Poverty indicator"
"Taunton",110872,0.124,0.127,0.003,0.096,0.078,-0.018,0.251,0.239,-0.012,"inc"
"Ashford",107894,0.156,0.167,0.011,-0.029,-0.015,0.015,0.222,0.2,-0.022,"inc"
"Worksop and Retford",107735,0.095,0.085,-0.01,0.022,0.001,-0.021,0.261,0.229,-0.033,"inc"
"Darlington",105244,0.192,0.215,0.023,-0.061,-0.042,0.019,0.151,0.169,0.018,"inc"
"Thetford and Mildenhall",104493,0.148,0.09,-0.058,0.024,0.025,0.002,0.24,0.176,-0.064,"inc"
"Clacton",104135,0.14,0.153,0.013,0.027,0.018,-0.009,0.091,0.103,0.012,"inc"
"Banbury",102977,0.266,0.266,0,-0.019,-0.026,-0.007,0.24,0.233,-0.007,"inc"
"Northallerton",101361,0.042,0.057,0.015,-0.121,-0.116,0.005,0.186,0.165,-0.021,"inc"
"Great Yarmouth",93548,0.303,0.293,-0.01,0.189,0.152,-0.037,0.303,0.306,0.003,"inc"
"Skegness and Louth",92204,0.032,0.04,0.009,0.018,0.008,-0.01,0.126,0.156,0.03,"inc"
"Bridgwater",90027,0.196,0.177,-0.018,0.022,0.024,0.002,0.28,0.255,-0.025,"inc"
"Hartlepool",88967,0.183,0.181,-0.002,0.138,0.13,-0.009,0.161,0.207,0.046,"inc"
"Barnstaple",86185,0.084,0.041,-0.044,0.011,-0.014,-0.025,0.239,0.219,-0.02,"inc"
"Cinderford and Ross-on-Wye",85741,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Colwyn Bay",85514,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Barrow-in-Furness",85349,0.294,0.31,0.016,0.085,0.15,0.065,0.253,0.206,-0.047,"inc"
"Spalding",81949,-0.044,-0.06,-0.016,0.005,0.018,0.013,0.028,0.024,-0.003,"inc"
"Wisbech",78579,0.038,0.043,0.005,-0.068,-0.026,0.042,0.086,0.064,-0.022,"inc"
"Evesham",78216,0.105,0.126,0.021,0.098,0.059,-0.039,0.187,0.188,0.002,"inc"
"Scarborough",76733,0.155,0.156,0,0.048,0.084,0.036,0.25,0.211,-0.04,"inc"
"Andover",74874,0.147,0.163,0.015,-0.051,-0.106,-0.055,0.237,0.182,-0.055,"inc"
"Boston",74283,0.14,0.059,-0.08,-0.074,-0.053,0.021,0.12,0.077,-0.043,"inc"
"Kendal",73464,0.143,0.121,-0.023,-0.026,-0.006,0.02,0.167,0.19,0.023,"inc"
"Workington",72240,0.174,0.178,0.004,0.049,0.015,-0.034,0.207,0.181,-0.026,"inc"
"Grantham",70943,0.186,0.188,0.002,-0.071,-0.038,0.033,0.258,0.265,0.007,"inc"
"Blandford Forum and Gillingham",69885,0.019,0.06,0.042,0.048,0.047,-0.001,0.137,0.159,0.022,"inc"
"Haverfordwest and Milford Haven",69417,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Street and Wells",66096,0.059,0.055,-0.005,0.004,-0.004,-0.008,0.168,0.186,0.018,"inc"
"Falmouth",64774,0.06,0.06,0,-0.053,-0.091,-0.038,0.153,0.131,-0.023,"inc"
"Whitehaven",64282,0.096,0.084,-0.012,-0.138,-0.157,-0.019,0.222,0.216,-0.006,"inc"
"Corby",57735,0.205,0.221,0.016,-0.104,-0.13,-0.025,0.09,0.147,0.057,"inc"
"Aberystwyth",54464,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Oswestry",53908,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Ludlow",52699,0.1,0.102,0.002,-0.001,0.01,0.011,0.203,0.21,0.007,"inc"
"Skipton",51281,0.11,0.137,0.027,-0.061,-0.051,0.01,0.161,0.186,0.025,"inc"
"Penzance",50464,0.145,0.179,0.034,-0.045,-0.037,0.008,0.143,0.163,0.02,"inc"
"Liskeard",47992,-0.11,-0.112,-0.003,0.071,0.065,-0.006,0.132,0.131,-0.001,"inc"
"Bideford",47819,0.164,0.178,0.013,0.075,0.08,0.006,0.231,0.243,0.011,"inc"
"Cromer and Sheringham",47736,-0.058,-0.051,0.007,0.003,0.028,0.025,0.073,0.088,0.014,"inc"
"Newtown and Welshpool",47360,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Sidmouth",44973,-0.098,-0.053,0.045,-0.034,-0.004,0.03,0.086,0.132,0.046,"inc"
"Malton",44714,0.015,-0.032,-0.047,-0.036,-0.016,0.02,0.132,0.136,0.004,"inc"
"Penrith",44391,0.113,0.071,-0.043,0.15,0.082,-0.067,0.206,0.168,-0.038,"inc"
"Bridlington",41070,0.208,0.225,0.018,0.085,0.123,0.037,0.174,0.134,-0.04,"inc"
"Buxton",39326,0.17,0.172,0.002,-0.077,-0.096,-0.019,0.133,0.161,0.027,"inc"
"Hexham",38624,-0.018,-0.034,-0.016,0.093,0.029,-0.064,0.104,0.156,0.052,"inc"
"Pembroke and Tenby",36318,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Cardigan",32340,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Pwllheli and Porthmadog",31481,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Kingsbridge and Dartmouth",30352,0.004,0.007,0.004,0.017,0.002,-0.015,0.107,0.1,-0.008,"inc"
"Wadebridge",29685,-0.061,-0.058,0.002,0.076,0.079,0.003,0.053,0.119,0.066,"inc"
"Minehead",28074,-0.002,-0.031,-0.03,-0.059,-0.078,-0.019,0.085,0.047,-0.038,"inc"
"Bude",27533,-0.059,-0.061,-0.003,0.031,0.05,0.019,0.092,0.149,0.057,"inc"
"Llandrindod Wells and Builth Wells",26771,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Bridport",26618,0.152,0.141,-0.011,-0.095,-0.076,0.019,0.164,0.177,0.013,"inc"
"Brecon",25591.3238,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Launceston",24452,0.001,-0.021,-0.022,-0.046,-0.072,-0.027,0.119,0.138,0.019,"inc"
"Tywyn and Dolgellau",23921,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Whitby",22901,0.165,0.155,-0.01,-0.04,0.009,0.05,0.18,0.141,-0.04,"inc"
